;FR;;;;;EN;;;;Feuille;;;;Choix si timer <= 0
1;Proposer à Medhiv et Syrdon de poser leurs affaires;Servir le groupe en silence;;;;Suggest to Medhiv and Syrdon to put down their stuff;Serve the group in silence;;;7;34;;;
2;Demander à Syrdon ce qu'il a sur le coeur;Se taire;;;;Ask Syrdon what's in his heart;Keep quiet;;;3;4;;;
3;Se taire;Demander à Diya et à Syrdon leurs avis;;;;Keep quiet;Ask Diya and Syrdon for their opinions;;;3;5;;;
4;Lui demander davantage;La féliciter;;;;Ask for more;Congratulate her;;;8;22;;;
5;Se moquer;Lui servir un verre;;;;Mocking;Serve a drink;;;9;33;;;
6;S'excuser et servir un verre;Se moquer et servir un verre;;;;Apologize and serve a drink;Laugh and serve a drink;;;10;32;;;
7;Défendre Medhiv;Défendre Diya;;;;Defend Medhiv;Defend Diya;;;11;31;;;
8;Jouer le jeu;Refuser de les servir;;;;Play the game;Refuse to serve them;;;12;16;;;
9;Continuer de les servir;Leur proposer d'aller dormir;;;;Continue to serve them;Suggest that they go to sleep;;;13;14;;;
10;Accepter de jouer;Refuser de les servir;;;;Accept to play;Refuse to serve them;;;18;17;;;
11;Céder au jeu;Refuser pour la dernière fois;;;;Give in to the game;Refuse for the last time;;;18;19;;;
12;Lui indiquer l'emplacement de Diya;Mentir et laisser Diya affronter le dragon seule;;;;Tell him the location of Diya;Lie and let Diya face the dragon alone;;;20;21;;;
13;Lui demander des informations sur le groupe;Lui servir un verre;;;;Ask for information about the group;Serve a drink;;;23;30;;;
14;Demander plus de détails sur Syrdon;Demander plus de détails sur Medhiv;;;;Ask for more details about Syrdon;Ask for more details about Medhiv;;;24;29;;;
15;Demander plus de détails sur Medhiv;Lui demander où sont ses camarades;;;;Ask for more details about Medhiv;Ask her where her friends are;;;25;28;;;
16;Ne rien dire;Complimenter le groupe;;;;Say nothing;Compliment the group;;;26;27;;;
17;Demander au mage ce qu'il s'est passé;Demander au nain ce qu'il s'est passé;;;;Ask Medhiv what happened;Ask Syrdon what happened;;;35;40;;;
18;Demander à Diya si elle était là;Demande comment ça s'est fini;;;;Ask Diya if she was there;Ask how it ended;;;36;39;;;
19;Demander à Medhiv d'arrêter de couper la parole;Féliciter Medhiv;;;;Ask Medhiv to stop interrupting;Congratulate Medhiv;;;37;38;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
